Puan,Yorum
1,direnişlerin boyutta olduğunu yerinde öğrenilen bir eser
0,çocuklar bol çizimli bir kitap
1,Zamanı şartları okuyabilmeyi mümince yorumlayabilmeyi abdest namaz öğretmeyi din eğitimi olarak görmemiz gerekmektedir
0,Yorumlar herzamanki safdil okuyucuların abatırılarını içeriyor Yazarın kitabı bilgi yoğunluğu yüksek Fakat edebi açıdan bir değerinin olduğunu okunması gerektiğini kesinlikle düşünmüyorum
1,ask hakkinda sosyo antropolojik rahat okunan bitr calisma ikili iliskilerin tarihi hakkinda bilgi edinmek isteyen herkes almali
1,akıcı merak uyandıran bir kitaptı beğendim
0,evet adı yeni başlayanlar
1,Ben kitaba 5 yıldız değil 5 milyon yıldız vermek istiyorum Ben kitabı elime alırken dokunmaya kıyamadım Bu kadar hassas kadar naif bir kitap görmedim Kitabı okurken benim düşüncelerimi hayallerimi planlarımı yansıtmasını hayranlıkla besledim Kitabı okurken beni alıp sürüklemesine bayıldım Kitabı okumaya kıyamadım bitmesin istedim Kitap biterken üzüldüm Özellikle son sayfayı çevirirken içim burkuldu resmen Ahhh ahh Aslında kitap hakkında sayfalarca yazabilirim Tek düşünceyle kalbime dokunduğunu söyleyebilirim
1,Bilim nedir önemlidir sorularına cevap Lisansüstü eğitimde harika verimli oldu
1,Jack LONDON sevdiğim yazarlardan Tüm kitapları harika bence Bu kitabını sevkle okudum
1,Mukadder Hanım içinize dokunarak yazıyır
1,Okurken beni duygulandıran Anadolu insanının büyük çabayla bugünlere gelmesini öyküleştirip anlatan bir eser
1,Kafanız karışmadan okuyabileceğiniz bir kitap
1,bilimkurgu denince akla gelen ilk isim
0,Çok dağınık bir kurgu olduğunu düşünüyorum Hikaye tek bir kişi özelinde ilerlemiyor ancak kişiler arasındaki geçişler nasılsa hissedilir düzeyde oluyor Belli başlı özet fikirler dışında pek beğenmedim
1,Sadık Hidayet in insanı karanlığa çeken Alacakaranlık ı kütüphanenizin güzel yerlerinden birinde bulunmalıdır Bu ince ruhun sesini duyabilmenizi umarım
0,Bu kitap benim bir hayal kırıklığı Zorla bitirdim
1,sıradan bir şekilde yaşıyoruz arka planda bir sürü olay kalıyor böyle bir durumu irdeleyen bir eser İlgili arkadaşlara tavsiye ederim
0,Kötü iş koşullarına karşı yazılmış dönemsel bir kitap
0,korku sayfasında yatağın yanında bir canavar resmi var oğlum 2 bucuk yasında su an korkuları yok onu etkileyeceğini düşünerek okumamaya karar verdik oraya sticker yapıstırmayı düşünüyorum açıkçası pek sevmedim
1,Nietzche yi felsefesini tanımak amaçlı aldığım bir kitap Cep boy olmasıda ayrı bir hoş
1,Hikayesi akıcı Kızımda bayağı sevdi
1,sınıf kitaplığında olması gereken kitaplardan
0,Yazarın okuduğum ilk kitabıdır Kapan Küçük küçük hik yelerden oluşan kitabı beğenmedim
0,Kitabi okumadan once beklentim tavan yapmisti sayfadan sonra hayal kirikligim tavan yapti
0,Anlatımı olay kurgusu karmaşık Okumak çaba sarf etmeniz gerekiyor Faust kitabını sevenler kitabı sevebilir
1,uygun fiyat içeriği güzel bi kitap
0,kitabın konusunu okuyup almıştım okuması güç bikimkırgu olduğunu bilmiyordum ilk bir kitabı yarım bıraktım maalesef
0,gazetelerden alınan muhsin yazıcıoğluyla ilgili yazıları kopyala yapıştır tekniğiyle hazırlanmış bir kitap olmuş yavuz beye ait üç kitabı okudum özellikle yakın döneme ait hatıratlarını beğenmiştim kitap beni hayal kırıklığına uğrattı
1,Dekadanlar hakkında bilgi sahibi olmak yeterli bir kaynak
0,Her konuyu bildiğini zanneden insanlardan uzak durun
0,iyi kötü diyemem kitap beni içine almadı
0,Gereksiz bulduğum bir kitap Açıkçası beni sarmadı
1,Yazarın beğendiğim kitaplarından birisi oldu özellikle ilk bölünleri
1,kitabın baskısı kapak tasarımı kaliteli
1,Alanında bir klasik olan kitap düşünmenizi kelimelerin büyülü dünyasına gitmenizi antik insanların bir yerde bugünden kadar ileride olduğunuzu anlıyorsunuz Tavsiye ederim
1,Her albüm ayrı güzel aynı ana hikayeyi takip ediyor
0,benzer kitaplara göre biraz gereksiz detaya girilmiş cümleler fazla uzun çocukların dikkati dağılabilir
0,beklentimin altında kaldı başladım bitirdim geriye bişey kalmadı
1,ilaç sanayisinin içler acısı halini doktor gözüyle anlatan bir kitap doğal hayat okunmalı
1,Güzel bir kitap Telefondan karekodu okutarak hikayede geçen besteleri çocuğunuza dinletebiliyorsunuz
0,Objektiflikten uzak bir şekilde hazırlanmış raporumsu çalışma Yüksek Lisansta yöntem dersinde hocamın listesinde yer alıyordu Meğer bilimsel bir çalışma yapılmamalıya örnek teşkil ediyormuş
1,mutlaka okunmalı sosyoloji psikoloji öğrencileri mutlaka okumalı
1,Tatmin edici bir özet kitabı Vadettiği pratikliği karşılıyor
1,diğer kitapları kadar iyi olmasa nobelli yazarın dili akıcı
1,bir çocuğun hayal dünyasında karakteler var büyücü cadı ejderha prenses kurbağa inanılmaz eğlenceli ben oğlumda sevdik
0,Özkan öze nin kitaplarını almayı istiyorum seviyorum küçük yaş grubunda başarılı olamıyor geldi bana serinin önce Vedud Allah kitabını almıştım iyiydi açıkcası bunu beğenmedik kızımında ilgisini çekmiyor 3yaş Ayrıca çizimleri başarı değil ayrıca yazıyı bir sayfaya resimi bir sayfaya toplamak çocuklar açısından pek iyi olmuyor aynı sayfa uzun süre kalmak dikkatlerini dağıtıyor Velhasıl bence yayınevinin editörlerin resimleyenin yazanın biraz üzerinde düzenlemeler yapması gerekiyor
0,Misyoner faaliyetlerini iyi bilmeliyiz aldatılmamak
1,çocukların severek dinlediği eğitici bir kitap pandinin tatlı merakı
1,İçerik kaynak detay anlatım bakımından sosyal psikolojiye ilgi duyanlar güzel bir kitap Okurken güçlük çekmeyeceğinizi düşünüyorum Benim faydalandığım bir kitap Bu nedenle kitabı tavsiye ederim
1,Harika bir kitapçık
0,Kitabın önsözüne bakarak yorum yapacak olursak 1920 lerde iyi bir sonuç verebilirdi Ancak 2020 türlü bilgiye kolay hızlı ulaşılan bir çağda sanayiye 1960 dan beri göç veren bir ulusu tanımlamayan bir kitap Bir ülke gelişemiyorsa toplumun faşist bakış açısındandır Alt yapısı böyle olan bir toplumun kültürü inancı ahlakı türlü gelişime bakış açısı yönde olur İnsanın insana saygısı gelişimin ilk adımıdır
0,açıkçası bana biraz ağır ilerliyor geldi yine okudum fena değil
0,İnan drnefes e katılıyorum Keşke içeriğini bir yerde bulup inceleseydim Yazarın boş eseri desem yeridir Amaç insanlara bir kazandırmak değil sadece eserim olsun raflar dolsun olmuş
0,İmameti inkar edenleri toplam olarak tekfir eden bir şii alimin kitapı
1,neticetünnetice döneriz döneriz anlatımıyla iyi bir eser
1,Oğlumla beğenerek okuduk 3 5 yaşında Çaba göstermenin başarmak olduğunu güzel bir şekilde işliyor
0,yöntemleri başarılı uygulanabilir bulamadım
0,karmaşık geldi bana akıcı sürükleyici kitaplar var
0,Musa İsa ilgili fikrimiz olmasını sağlarken Muhammedle ilgili kısmı bana biraz saçma geldi ortada doğmamış peygamber varken babasının öldürülmek istenmesi bununda peygambere bağlanması ilginç bir tez oluyorda bir şeyin kaydı tutulmazken böyle bir iddianın kaydı tutuluyor
1,Tarih macera bir arada
0,Bu sayı önceki sayılar kadar güçlü olmamış
1,Kesinlikle okuduğum iyi kitaplardan Maalesef ilk önce filmini izlemiş bulundum Filmi anlatıldığı kadar etkileyici bulmamıştım öneriler üzerine 1 yıl sonra kitabını aldım İyi aldım Çevirisi bazen kafamda soru işaretleri yaratsa gayet akıcıydı Yine İngilizce bilenlere orijinalini okumalarını tavsiye ederim İyi okumalar
1,Gerçek yaşama ışık tutan başarılı bir iş romanı
1,Oğlum okudu beğendi arkadaşına verdi 4 günde okumuş beğenmiş Tavsiye ederiz bunun devamını bekleriz yazarlarımızdan
1,7yaşındaki oğlumla birlikte okuduk keyifli
0,İsra Suresinin ilk 8 ayetinden yola çıkılarak Yahudi tarihi anlatılmış gözükse kitap bunun ötesinde şeyler anlatıyor bence Bu Yahudiler Israiller zaman Beni İsrail olursa Allahin yolundan dldenls
0,Şimdiye kadar okuduğum kitapların arasında sıkıcı olanlardan
0,Hızır a s niteliği itibariyle zaman insanlarda bir merak uyandırmıştır Ölümsüz olan darda kalanların imdadına yetişen kılık değiştiren bir ermiş Kitaba gelince Hızır kıyemetle ilgili çeşitli senaryolar yazılmış Çok tutarsız dayanıksız saçma sapan şeyler Kitap bittiğinde bir sonuca varamıyorsunuz yazık Bence zaman kaybı
1,Yazarın kitapları süper bir macera Tavsiye ederim
1,hoş bir hikaye çocuklar uygun
1,İlginç faydalı başarılı bir çalışma olmuş
1,Saaatlerce düşüncelere daldıran uyandıran bir kitaptı
1,Bana Tanrının yeryüzündeki büyük tapınağı nerededir sorulacak olsa şöyle cevap verirdim İnsanın kalbindedir Burası Tanrıya ibadetin kusursuz tapınağıdır Tüm zaman mekanlarda gündüz gecenin saatinde kabalık bir kentte ıssız bir çölde ulaşılabilir olan bir tapınaktır burası Göklere Sevgi İbadet içindir burada insan semavi babayla bir olabilir Söyleyin başka bir tapınak bunun yerine geçebilir Sürükleyici ilginizi çekebilecek muhteşem bir kitap
1,yazarın akıcı samimi bir üslubu var yaptığı tespitler doğru herkes kendi yaşamından bir kesit bulabilir kitapta ailenin kopuk uzak görünen ilişkileri judd foxman ın dilinden anlatılıyor babalarının ölümüyle şeylerin farkına varıyorlar tavsiye ederim
0,Fazla ayrıntıya girilerek sayfa sayısı arttırılmaya çalışılmış Sıkıldığım atlayarak okudum
1,Musikinin ön planda olduğu muhteşem bir yapıt
0,Kitabı aldım okumaya başladım ancak kitabın başında imam ı azamın hayatı eserleri el alim l müteallim tanıtılırken bin küsür sene öncesinden zamana kadar yaşamış onlarca islam aliminden sarf ı nazar edilerek müşteşriklerin eser hakkındaki mantıksız dayanaksız fikirlerinin nazara verilmesi iyi olmamış
0,Çok iyi öyküler yok Fazla kısa öyküler Öyküyü bayağılaştırıyor
0,jack london dan okuduğum ilk kitap oldu Bana biraz sıkıcı geldi
1,Özellikle 8 yaş üstü çocukların ilgisini çekebilecek görsellikte güzel içeriği olan bir kitap çocukların İslam alimlerinden buluşlarından haberdar olmaları kesinlikle tavsiye ederim
0,Okunmasa bişey kaybedilmeyecek bir kitap Sadece günlerin düşünce yapısını görmek okuna bilir
0,Ruh tahlilleri insan doğasını anlatışı bakımından oldukça başarılı olmasına karşın sürekli tekrara düşen yapısı nedeniyle okurken sıkıldığımı itiraf etmeliyim İlk kısaltılmış versiyonunu okusaydım düşündürdü beni Restorasyon dönemi Fransa sını anlatan güzel bir kitap Klasikleri sevenler okumalı
0,yazar kitabıda okudum kitabı okudum demek alıntılarla kitap yazmış
1,İlk geçen ay almıştım dergiyi beğendiğim sayısını aldım
0,Tamamen siyasi kaygılarla yazılmış gayri bilimsel yazılardan oluşan propagandist değersiz bir kitap
0,Kitabın bölümlerinin çoğu boş olan bir kitap Zamana paraya yazık malesef
0,İsmi musliman lakin fikirleri islama yabancı olan yazar kendi havasında tarihi yorumluyor bölüyor çıkarıyor veortaya bir kitap çıkıyor Hiçbir ilmi değeri olmayan islami kimlik altında yabancılaşan bir adamın fikrleri sadece kadar
1,çocuklar şiir okumasın işte kitapla okusun
0,bilimsel verilerle desteklenmeli
0,vakit geçirmelik bi kitap okunmasa bir kaybetmezsiniz
0,Okurken bazi yerlerde sasirdim ilginc geldi Soyledigi verilerin nasil elde edildigini belirtmesi yorumlanmasi guzeldi ancak kitap ayni seyi dondurup duruyor tekrar tekrar anlatiyor gibiydi Gercekten sıkıldım verileri bir rapor liste halinde okusaydim aklimda kalirdi uzagildikca gercekten bitirmekte zorlandimh
0,Muhammed Esed in ilginç bir karakter olduğu doğru ancak dini açıdan bir otorite olmadığı kesin Hayat hik yesi okunmasa kendisi iyi bilinirdi Meal inin ülkemizde denli popüler olduğunu anlamak gerçekten zor Muhtemelen beklediğinizi bulamayacağınız bir metin
0,Yorumlara bakarak uzun zamandır almak istediğim bir kitaptı stoğa girince hemen sipariş verdim Fakat gerçekten aradığımı bulamadım 3 yaşındaki oğlumun çocuk olarak hayvanlara karşı korkusu olmamasına rağmen bir sayfasında boşluktan canavarların çıkması bunların yılana benzemesi etkiledi felsefik yada soyut yaklaşan arkadaşlar maalesef sizin hissettiğinizi hissedemedik
0,Herkesin beğendiğinin aksine ben cok sevemedim Fazlasıyla uzatılmış bence Çok zorlandım okurken hatta bitirmedim
0,kitaptaki mesajdan azıcık rahatsız oldum zira kirpi kestane kime gitse yardımcı olmuyor çizimleri çocuklar ilk rahatsız edici buldum
1,Serinin hepsini aldık Gayet başarılı Hem eğleniyor öğreniyoruz
0,Konuyla ilgili derin bir analiz bekliyordum fakat yazarın gazete yazılarının derlemesi çıktı
1,Ortaokul seviyesi güzel bir seri
1,2 sinifa giden oğlum severek okudu tavsiye ederim
1,Her anne baba çocuklarına öğretmen öğrencilerine Levent serisinin kitaplarını almalı Çocuklarımın ikisi tam bir Levent tiryakisi oldu Sınıf kitaplığımın beğenilen kitapları
0,okuyamadım sarmadı
1,Faruk Beşer hocanın bakış açıları insan vizyon kazandırıyor keyifli bir kitap
0,370 sayfalık kitabın 320 sayfası sıkıcıydı Yarım bırakma huyum olmadığı zorla bitirdim Sonu sürprizdi evet okurken afakanlar bastı Okumasanız bir sey kaybetmiş olmazsınız
1,Offf sonuyla enlerim arasina girmeyi basaran bir basyapit
1,yazarın aldığım ikinci kitabı serinin devamını almayı düşünüyorum
1,Tebliğ davet konularında akla hitap edenlerden ziyade gönle hitap edenlerin kalbe değenlerin başarılı oldukları bir gerçek Bu kitap gönle hitap eden bir davet aracı bence
1,zweig klasiği kesinlikle okunmalı
0,emre kongar anılarını farklı zamanlarda kitaplaştırmış bir yazar olduğu söyleşide eski kitaplarının kapsamları kesişse tekrara düşmemiş ancak bolca anı kitabına sahip olduğu anlatılacak pek fazla konu kalmamış anlatılanlar yeni emre kongar özelinde değil çoğunlukla kitabın merkezine emre kongar ı koymayı biraz anlamsızlaştırıyor zira önceki eserlerinden yazarın bakış açısı zaten biliniyor
1,Ali şeriati yi anlamak iyi bir kitap
1,Atillayı biraz tanımak okumaya değer
0,tam bir genç kitabı herkese tavsiye ederim
0,büyük bir heyecanla aldim ancak beklediğimi bulamadim Yarim kitap birakmaktan hoşlanmadığım bitirdim O duyguları hissedemedim
0,yazarın çeşitli konuları anlattığı denemeleri deneme başlıları bile orijinal sorunları tespit ederek sunduğu çözümlerle muhteşem bir eser
1,Araştırma kitabı okumayı sevmeye yazar başladım Bütün kitaplarını okumak istiyorum
0,5 yaşındaki bir çocuğun başından geçenler beni irrite etti Beğenmedim
0,Çok vaktim var diyorsanız okuyun 2 saatinizi almayacaktır zaten büyük puntolar büyük sayfa boşluklarıyla zorla kitap yapılmış Savsaklama alışkanlığından muzdaripseniz kitap size pek yardımcı olmuyor Ben bununla birlikte Timothy A Pychyl in Prokrastineyşın isimli kitabını almıştım tesadüfe bakın kitabın son sayfasında gerçekten faydalı bir arıyorsanız kitabı okuyun deniliyor 9 lirama acıdığım bir kitap oldu Fakat Timothy A Pychyl in kitabı gerçekten iyi Onu tavsiye ederim
1,baş karakteri güçlü iyi yazılmış derin Bir kitap sürükleyici
1,çizimleri güzeldi
0,beklentilerimi karşılamadı vakit kaybı
1,Sabahattin Ali nin diğer kitapları güzel bir eser
1,Nietzsche yi süründüren kadının kaleminden Salome bir efsane
1,formasyon dersleri kpss hazırlık insanın kendini geliştirmesi güzel bir şekilde hazırlanmış öğretmen öğretmen adaylarının okuması gereken bir eser
0,yazarın emeğine sağlık kesinlikle akıcı bir kitap degil okurken sizi baya bir yoruyor tarz kitaplar sadelik akıcılik cok onemlidir okuyucuyu etkilesin ben okurken pek keyif alamadim malesef
1,Yahya Efendi hakkinda roman seklinde bilgi edinmek icin cok guzel
1,Şairden ötedir Haydar Ergülen benim
0,karl marx ın anlatılmadığı bir sosyoloji sözlüğü
0,Klasik edebiyat okuyunca sizi doyuramayacak kadar basit anlatımlı bir kitap
0,Hatice hanımın kitaplarını oldukça basit buluyorum Okuduğunuz ilk yazarsa güzel gelebilir Bir yerlerden derleyip yazılmış kitapları Yorumlar kadar abartılı kitapta yok başı sonu belli değil kalitesi sıfır hemen dağıldı Hanımefendi belli bir gruba hitap edebilir reklamı yapılıyor Alanında otorite olan insanlar kadar hızlı kitap çıkaramazken Hatice hanım çıkarıyor tebrik ediyorum
0,Kitap kurgusu zayıftı sonu belirsiz beğenmedim
0,Orhan Pamuk un önceki kitaplarındaki bölümlerinden derlenen güzel bir öykü kitabı
0,Yeni okumaya başlayan çocuklar yazı puntosu küçük Ayrıca hikayede şarkı hikaye bilmediğini söyleyen sonrasında söyleyen bir kahraman var oğlumun kafasını karıştırdı 6 yaş fazla fantastik
0,Hiçbir şekilde tavsiye etmeyeceğim kitaptır Kampanyada bile alınmayacaktır Kitabın içeriği tam belli bile değil Roboski deniyor algı yqpılmaya çalışılıyor
1,Dergi tadında eser Keşke fazla fotoğrafa fotoğrafın hangi eser olduğuna yer vere bilselermiş Sayfa kalitesi iyi Dergi okumayı sevenler hoş bir eser
0,kitabına roman denemez hikaye diğer kitaplarındaki tat yoktu yüzeysel basit kaçmış zaman kaybı bence
0,ene sır kitaplarını okuduysanız kitapta aynı tadı alamıyorsunuz
0,Hızlı okunabilen bir kitap akıcı
0,İsmail Hoca yı bir gazete röportajını izleyerek tanıdım onun verdiği bilgilere ulaşmak ilk olarak kitabını almak istedim Ne yazık kitap benim biraz hayal kırıklığı oldu Çünkü yazınsal düzenlemede ciddi sorunlar olduğunu fark ettim hocanının aktarmak istediklerini kimi yerde çözmekte zorlandım Bir bağlantısallık sorunu var Konular yanlış konu başlıkları altında kümelenmiş Bazı sayfalar kendinden önceki sayfaların devamı değil Sanırım İsmail Hoca nın makalelerinden bilgisine derinliğine ulaşmak sağlıklı olacak
1,henüz duygularını adlandıramayan minikler yönlendirici faydalı
1,Seri tam gaz devam ediyor İlk kitabına bayılmıştım bunu seveceğime eminim
0,Ciddi anlamda okudugum basit kitaplardan birisi cakma aclik oyunlari survivor karisimi olmus Hic vakit kaybetmeden kitap yurdundaki sahane bir suru kitaptan birini almak icin diger kitaplara bakmaya baslayabilirsiniz
1,GAYET NET VE GÜZEL HEMDE UYGUN FİYAT
1,Oğlum adamın kitaplarına bayılıyor Macera serisinin yeni kitaplarını dört gözle bekliyor Oğluma kitap okumayı sevdirdiği ben adama teşekkür ediyorum
0,TARİHE İLGİSİ OLANLAR KÜTÜPHAENİN BAŞ KÖŞESİNE KOYMALIDIR
0,olaylara kişilere okuyucu hakim değilken dedektifin olayı çözmesi gerceklikten uzak maalesef Agatha Christie romanlarinda karşılaşılan bir sorun
1,okurken kalbimin atişlarını duyabiliyordum Bazı yerleri okurken korksamda olacak merakıyla kitabı bir türlü elimden bırakamadım Hala kitabın üzerimde bıraktığı etki sürüyor Eğer sizde ben kokmam diyorsanız birde kitabı okuyun derim Eminim okuyunca sizinde duygularınız alt üst olacak
1,Güzel bir hikaye eğlenceli kitaptan bir güzel ders çıkarmak mümkün Hepimizin içinde bir kahraman yatıyor yeter kahraman kavramını doğru olarak algılayabilelim kararlılıkla hareketlerimize yansıtabilelim
0,SIRADAN VE SIKICI GELDİ BİR TÜRLÜ BEĞENEMEDİM
0,İslam Hukuku ele alınmamış konular üstünkörü geçilmiş
0,kampanya aldım güzeldi
0,sevemedim başı kadar sıkıcı geldi katlanamadım artık oysa büyük hevesle almıştım diğer yorumları tekrar değerlendirip yeniden başlayabilirim okumaya
1,beğenerek okudum sonucta dostoyevski
0,fiyat performans açısından değerlendirildiğinde tatmin edici bir çalışma değil detaylı olabilirmiş düşünüyorum muadili başka bir eser görmediğimi söylemek isterim tabii yüzden değerli bir kitap yine detaylı bir akademik çalışma bence fevkalade olurdu bir yazık kareli metod defter bir kapağı var kitabın
1,Dinozorlara ilgisi olan oğlum uzunca bir süre kitapla uyudu sevdi kitabını Seriyi hızla tamamlamayı düşünüyoruz
0,Beklediğim çıkmadı vakit kaybi oldu
1,Yavaş yavaş sindire sindire okunmalı
1,serinin 2 kitabınıda aldım uygun fiyat
0,sekülerleşme meselesini liberallerin gözünden okumak
1,kitap güzeldi fakat serinin güzel kitabı 1 kitap
1,kitabı kızımla 2 yaş civarında yapmıştık 3 yaş beklemeden alınabilir güzel bir etkinlik kitabı
1,İklim Değişikliği hususu özelinde yazılmış yine güzel bir Naomi Klein çalışması
1,Ergülen in şiirleri gerçekten muazzam
0,kitabın konusu gayet güzel ancak anlatım dili sıkıcıydı aşırı detaycıydı sıkılarak bitirdim
0,Basit herkesin anlayabileceği bir tarzda insülin direnci üstesinden gelebilmenin ipucları anlatılmış Fakat yazarın önce okuduğum Naturel Zayıflama kitabının ilgili bölümlerinin aynen aktarıldığı bir kitap kitap Başlıklar cümleleler kelimeler virgülüne kadar aynı
0,Nevzat TARHAN ın kaleminden çıkmış olmasına rağmen etkileyici içeriğe sahip değildi
0,Yazarın diğer kitaplarına göre biraz zayıf kalmış
0,tavsiye etmiyorum akıcı değil
0,Maalesef beğenmedim Çocuklara yazma sevgisini aşılamak istemiş bence anlatım çocuklar ağır Kitap büyükler içinse sıkıcı Hedef edilen kitle kimler bilemedim
1,uzakdoğu romanlarına önyargım olması sebebiyle bir tereddüt vardı kitaba başlarken benim özel bir roman oldu
0,Kitabı bi doktorun yazmasının bi esprisi yok Mac anlatır savas anlatmış Duygu yok Rapor var
0,Kelimeler bir sıralamaya tabi tutulmadan dağınık olarak verilmiş Kelimelerin kökleriyle kardeş sözcüklerle arasındaki bağlantı yeterince tatminkar değil Daha didaktik bir üslup kullanılabilirdi
1,Kitap genel olarak güzeldi özellikle sonu beni etkiledi
1,Yapı Kredi Yayınları na yeniden baskı teşekkürler Şamanizm ilgili kaliteli bir eser Tavsiye edilir
1,Dolu dolu bir kitap açık net anlaşılır Kararsız kalıp aklında soru işreti olanlar rahatlıkla faydalanabilir
1,Kitabın baskı kalitesi renkleri mükemmel Hikayesi güzel tavsiye ederim
1,pes etmek nedir bilmeyen bir tavugun hikwyesi okunasi
0,Fazla iddialı göstere göstere ders verir niteliğiyle ben zekice bulmadım
0,SELAMÜN ALEYKÜM BU KİTAP AHMET FAİZİN FİZİLALİL KUR ANDA DAVET YOLU KİTABININ BAZI BÖLÜMLERİ ALINARAK HAZIRLANMIŞ ÖZGÜN BİR KİTAPMIŞ GİBİ PİYASAYA SÜRÜLMÜŞ BİR KİTAP EKONOMİK KAYGILAR GÜDÜLEREK VAROLAN KİTAPLAR YA DA KİTAPLARIN BAZI BÖLÜMLERİ SANKİ YENİ AYRI BİR KİTAPMIŞ GİBİ PİYASAYA NİÇİN SUNULUR ÇOK MERAK EDİYORUM BU KONUDA YAYINEVİNİN NE DİYECEĞİNİ AÇIKÇASI MERAK EDİYORUM SELAM VE DUA İLE OYLAMAYI BU BASKI İÇİN KÖTÜ OLARAK BELİRTİYORUM YOKSA İÇİNDE BULUNDUĞU ORJİNAL KİTAPTA ZATEN MÜKEMMEL BİR KİTAPTIR TAVSİYEM AHMET FAİZİN YA AYRI AYRI DAVET YOLU 1 2 3 SERİLERİNİ YA DA TEK CİLT HALİNDE YENİDEN BASILAN VERSİYONUNU ALINIZ SELAM VE DUA İLE
1,Yazarin hemen hemen kitabini okudum kitabinida cocuklari yonlendirmede rehber dusunmustum tahminimden cok genel bir anlatim olmus
1,Bütün hikayelerin vermek istediği bir mesaj var Annemle beraber okuduk beğendik
1,yazarın kendi hayatını kısa kısa anlattığı güzel akıcı bir kitap
1,Güzel bir kitap farkındalık oluşturuyor serinin diğer kitaplarını almayı düşünüyorum bir
0,tekerlemelerle hikaye güzel 2 yaşındaki oğlum pek sevdiğini söyleyemem kimi yerler cümle var
1,tavsiye üzerine almıştım eğlenceli bir kitap
0,Türkçe değil osmanlıca yüzden zorluk çekebilirsiniz
0,Hep yanlıştı cevapları
1,Şairin Romanı benim okur tarihimin muazzam romanıdır Onu okurken kadar özel bir okur olduğumu düşünmüştüm Bitirince iyi okuma şansına erişmişim dedim İçimde onca kahramanla birlikte yaşıyorum Şairin Romanı ndan sonra tek bir dize olmadan şairliği anlatan sanatı hayatı dünyayı aydınlatan bir eser Öyle bir Yerküre nin mümkünlüğüne beni inandıran bir eser Var olsun Murathan Mungan daim olsun kalemi benim ömrümün romanıdır Şairin Romanı
1,Sosyal medyada ismini duydugum bir kitapti yol gosterici olacagini dusunuyorum Disiplinli olmak bunu cocuk ebeveyn icin sıkıntı olamktan cikararak
1,Çok severek bir solukta okudum yakın arkadaşımla dertleşir Kaleminize sağlık Şeymanımcım
1,Falih rıfkı atay in türkiyenin geçirdiği askerdi müdahaleler ilgili kişisel görüşlerini anlatan bir kitap Tavsiye ederim Bu değişimlerin kuvvetli köklü olanının milli mücadele harekatı olduğunu anlatır
0,İç geçirme üzerine kurulu bir üslübu olduğundan okunması çoğu zaman sıkılmanız olası
0,çocuklara verilmek istenen mesaj güzel direkt edebi yönü zayıf çocukların naif dünyalarına cok uygun bulmadım
0,Okurken pek zevk aldigimi soyleyemem
1,mutlaka okunması gereken kitaplarınız arasına yerleştirin
0,Ben nedense okurken bayağı bir zorlandım Kütüphanem değerlendirmeyeceğim
1,Bu döneme karşı ayrı bir ilgim var Halid Ziya dönemin ilk akla gelen kalemlerinden
1,Sevilen serinin kitabı Çocuklar ideal
