Puan,Yorum
0,beğenmedim insana gerçekten ilham verecek bilgiler vardır umut ediyordum ilk bir kitaba verdiğim paraya acıdım tavsiye etmiyorum
1,Yazı becerisi üzerinde çalışmak isteyen ebeveynlere eğitimcilere tavsiye edilebilir
1,olayların kronolojik sırasıyla başta covid olmak üzere virusler hakkında açıklamalar var teknik konulara girilmeden korunma bulaş tarihçe ülkemiz dünyadaki gelişmeler hakkında güzel bir kitap
0,Sıradan bir ömürün hikayesi Şişirildiği kadar güzel değil Mustafa Kutlu okuyun fazlasını bulabilirsiniz
0,bağlantı kurma sorunları yaşanmış tek taraflı bir çalışma olmuş
1,Severek okuyorlar çocuklar tavsiye ederim
0,Son günlerde okuduğum berbat bir kitaptı Yazarın okuduğum ilk kitabıydı son oldu Nasıl ödül almış hayret
0,fakat başlayıp biten bir kitap Anlatımını içeriğini beğenmedim
0,Gelen kitapta 97 sayfasından itibaren basılmayan saylafar mevcuttu
0,Lopus yayınlarının çıkardığı kitaplar bana pek inandırıcı gelmedi Yazarın anlatımı fena değil kitap kendini okutuyor vermeye çalıştığı bilgileri iyi araştırmak lazım Özellikle sağlam kaynaklardan
1,Yıllar önce izlemiştim filmini küçük Barış ın İnci İnci seslenişi hala kulağımda İncecik bir kitap satır aralarına koca koca kitaplar sığar Başka türlü bir anlatımı var kitabın beni hüzünlendiren anlatmadığı kadar şeyi hatırlatıyor En naif masumun dilinden yalın acımasız gerçekleri gözümüze sokuyor
0,klasik bir kemalist bakış açısıyla yazılmış bir kitap farklı bilgiler beklemeyin aşina olduğumuz seyler işte
1,Osho nun eserleri okunmalı
0,bana hitap etmeyen bir seri
0,Okunmasaydım olurmuş dediğim bir kitap
1,Şiir tahlili konusunda başucu kitabıdır
0,Yahya Kemal Menderes in mektupları beni benden aldı
0,Kitap içeriğindeki cocuğun kedinin burnu hoşuma gitmedi beğenmedim
1,Serinin anlaşılır kitaplarından Diğer mesleklerde detaylar teknik kalırken kitaptakiler önce çiftlik görmemiş bir çocuk bile açık hayatın içinden geliyor
0,Beklediğim çıkmadı vakit kaybi oldu
1,Suriyeli öğrenciler uygun özellikle tam Türkçeyi öğrenemeyenler kelimelerin Arapça yazımları var
1,öyle güzel anlatıyor peygamberlerimizi teşekkürler Sezai abi
0,Belki ön yargı okudum kitaptan bekledim Bilemiyorum beni sürüklemedi Eksik bir şeyler var Sanki yarım kalmış
1,Çok faydalı bulduk başka örneklerini aradım yok
1,Görelilik Kuramı nı sosyal hayata uygulayarak hayatını düşüncelerini paylaştığı kitap Başarılı
0,kaynaksız bir kitap arşivlik bir değeri yok Atatürk hakkında kitapları okuduysanız eh bunu alın okuyun bari gerçekten kitapları okuduysanız sağa sola bir yere bırakırsınız sanırım
1,Teşkilatı Mahsusa hayran bıraktıran bir kitap Kesinlikle tavsiye ederim
0,Yaprak Öz farklı tarzda kurgusuyla insanı şaşırtmayı başarıyor
1,Okumalısınız insan kendinden bir parca bulacaktır
0,Bu kitap içeriği araştırmacı yazar Oktan Keleş in DERUNİ DEVLET adlı kitabın alıntısıdır 2012 yayınlanmıştır Bu konuları merak eden ASLİ kaynağı okumasını tavsiye ederiz http www kitapyurdu com kitap deruni devlet amp kutsal hali 283272 html
0,bende kitabı beğenmedim cümleleri gereksiz bir şekilde uzun oğlumun pek ilgisini çekmedi Hayal kırıklığı oldu bizim açıkcası
0,Açıkçası kitapta yazar anlatmak istemiş anlayamadım Havada kalan bir hikaye Okumasanız olur
0,Çok acele hazırlanmış bol yazım hatası var konu bütünlüğü yok serinin diğer kitaplarının yanından dahi geçemez Tam bir hayal kırıklığı oldu benim
0,Rowling in yazdığına inanamadığım kitap 50 sayfayı geçemedim Bu kadın dünyaya sadece HP yi yazmak gelmiş anlaşılan Yıllardır ortaya koyabildiği başka bir yok Bari HP evrenine geri dön be kadın
1,kelime oldukça iyi bir kaynak örneklerin olmasına ben kitap üzerine işaretlemeden çözüm buldum yeni bir kaynak edinmektense kaynağın tekrar üzerinden geçilebilir
1,kitap kapağı dikkatimi çekti
1,Kitabın konuları güzel tasnif edilmiş Emek verenlerden Allah razı olsun
1,Olunması gereken bir kitap anılarla dolu
1,Saramago hayranı olarak bana göre kitabı iyiydi
1,hızlıca bir oturuşta bitebilecek bir kitap kapağı cok korkutucu
1,MUARATHAN MUNGAN KİTAP SIRALAMASINDA İLK BEŞİMDE DEĞİL AMA KÜLLİYATINI OKUMUŞ BİRİ OLARAK SÖYLÜYORUM Kİ ES GEÇİLMEMELİ
0,Hz Ebubekir isminin geçtiği yerde büyük sıddıkiyet teslimiyet örneği yaza yaza resmen Hz Ebubekir in R a hayatını değil kitabın ismini ezberletiyor
0,içeriği fazla olmayan pek tavsiye edebileceğim bir kitap değil yanlış hatırlamıyorsam ALLAH yerine tanrı kelimesi gördüm bende imha ettim
0,Çok tatmin etmedi
0,para verdiğime değmedi dediğim kitaplardan
1,Yazar birçok hayatı önceden yaşamış son kitabı kaleme almaya karar vermiş Her insan birbirine yakın uzak bir şekilde bir yaşam döngüsünde evet yazar döngüleri tek bir kitapta birleştirebilmiş şaşılası gerçekten İddia ediyorum olursanız olun kitap hepimizin hikayesini anlatıyor Yanlış anlaşılmak istemem hepimizin başladığı noktayı gittiği rotayı vardığı konumu değil yazar hepimizin yolunu anlatıyor
0,kitaba notum 100 üzerinden 30 Sabahattin Önkibar 40 yıllık gazeteci asla imla bilmiyor ayrıca kitapta yazanların 70 i yalan
1,Tolstoy okuyucusunu hay l kırıklığına uğratmamış nadir yazarlardan
1,yazarın okuduğum ilk kitabıydı beğendim
0,Hayatımda yarım bıraktığım ilk kitap Sanırım ben tarihi romanlarda okumayı pek sevmiyorum Buna karar verdim Şimdi herkes hayıra basacak yapayım yalan yazsaydım
0,Oncelikle deniz sekiyi Allah kurtarsin diyorum gelelim kitaba yazikki beklentimi hic bir şekilde karşılamadi yalin sade siradan basit bir anlatım bence zaman kaybı
0,sıkıcı kampanyadan aldım kitabı bitiremedim bile
1,kristan hannah yine bildiğimiz alıp götürüyor oldukça sürükleyici bence pişman olmazsınız
1,Mükemmel bir kadarda üzücü Yaşayan gören birinin kaleminden okumak orada olmak
0,Yazara saygısızlık etmek istemem beğenmedim Basımda sorun vardı bilmiyorum anlatılmayan şeylerden anlatılmış söz ediliyordu Sanki bölümler aradan kaybolmuş Daha azı olmadığı 1 yıldız veriyorum
0,fena değil yararlı kitaplar okunabilir küçük yaş grubu olsa
1,logan ı avengers olarak görmek güzel hikaye devamı okumak merak uyandırıyor
0,İncecik beklentimi karşılamadı
1,yerde karşıma çıkan bir kitaptı almamak olmazdı
0,ÖNCEKİ DENEMELERİNİ DAHA BEĞENMİŞTİM
1,Sayfa sayısı kısa olsa insanı düşüne düşüne okumaya sevk eden bir kıtap Her kadının kendinden bir şeyler bulacağını düşünüyorum
0,Kitap fazla tekrara düşmüş aynı kitap iki kere okunuyor orijinal bir bakış açısı yok sherlock un adını kullanmış sadece
1,Serinin ilk kitabı 3 yaşındaki oğlum beğendik Duygular güzel ifade ediliyor kitapta Fiyatının oldukça uygun olması cabası Tavsiye ederim
1,Kitap basım kalitesi içerik olarak iyi Beklentilerimi karşıladı
1,marx haklıydı onun haklılığını konuşacağız
0,Seriyi bitirmek kendimi zorlamam gerekti Sevemedim
0,Sadece atatürkü yüceltmek yazılmış bir kitap
0,Selüloz israfı Başka bir değil
1,Hüseyin Rahmi gerçekten müthiş yazıyor
0,sonu muamma olan bir kitap
1,Boyuna göre fiyatı pahallı olan kitap fiyatına rağmen okunmalı
1,Çok güzel kurgulanmış bir kitap Kitabın arkasında bahsedilen konu dışında kahramanın sevgilisiyle bağlantılı başka bir konu var Bir solukta bitiriyorsunuz kitabı Günümüzde sosyal medyanın zararlı yönlerine dikkat çekiyor
1,Nureddin Hocanın uydurma kimin nerden aldığı belli olmayan dualar kitaplarına karşılık güvenle okunabilecek piyasadaki ender eserlerden
1,güzel bir seri çocuğunuzun ilgi alanına göre tercih yapabilirsiniz
1,sevmem roman tarzı kitapları hele tarihsel romanlar beni iyice boğar kitap öyle başka satırını okurken yaşadım adeta almanların yaptığı işkenceler yahudi fransız kadınlarının çaresizliği bir film şeridi geçti gözümün öününden yakın tarihi anlatan güzel akıcı bir roman
1,KÖRLÜK GÖRMEK KABİL BUNLAR OKUDUGUM EN GÜZEL JOSE KİTAPLARI EMİNİM BU DA ENFEST
1,sevdiğim basarili bir eser
0,Hayatımda okuduğum berbat saçma kitaptı Resmen zaman kaybı
1,Güzel bir seri severek okuyoruz
1,sadece çocuklar değil yetişkinler içinde bilgilendirici
1,KAfka nın etkileyici romanı
0,konu şahane ancak sayfa yapısı iğrenç beyaz fotokopi kağıdı kullanılmış
0,geçmiş 10 bin yılın ahiret soruları artık mümin kul seçme yerleştirme sınavına hazırız
1,Çok beğendim kadar geniş çaplı bir hikayeyi sıkılmadan okuyor sanatı felsefeyi savaşı özümsüyorsunuz
0,Beklediğim kadar etkili değil di
1,filin yolculuğunu okuduktan sonra fillere karşı fikirleriniz öyle değişiyor merakınız öyle artıyor Klasik Saramago farkı muhteşem
0,Kitabı ARTT uygulamasının tam olarak olduğunu anlamak kendime uygulamak okudum Ben kişisel gelişim kuantum fiziği Eft Reiki vs birçok konuda kitap okumuş kendinde uygulamış olarak yorumluyorum Kitapta genel olarak Güneş hanımın ARTT uyguladığı danışanlarının Mucizevi hikayeleri var Uygulamak ARTT uzmanına gidin diyor kısaca Güneş Tan dışında konuda uzman yok Kitap içerisinde ARTT dışında bir bilimsel araştırmalara yer verilmiş Ancak ARTT yi kendinize tam olarak uygulayacağınız konusunda bir fikir vermiyor ARTT uygulaması ilgili kitapta 3 sayfa var Ondan anlamak güç Tekniği anlamayanlar sosyal medyada Güneş hanıma yorum yazıyorlar kendisi sürekli kitabı 2 3 kere okuyun diyor Kitap tekniğin özünü anlatmıyor 2 3 kere okunsun
1,bilimsel araştırma nedir metodları nelerdir açık anlaşılır bir formda anlatmış
1,Başlangıç seviyesi zor bir kitap olsa okuması keyif verici
1,Kitabın vurucu cümlesi şudur izleyeceğimiz iyi yolun hangisi olduğunu zaman biliriz yalnızca alışık olduğumuz yolu izleriz tavsiye ederim
0,Begenmedim Guzel anlatılamamıs Huzunlü bile degıl Tarafsız yazılmamış
1,Türkçe sağlam kaynak sınavda fulletir
0,konusu kedi değil tam olarak psikiyatri değil karşılıklı diyaloglardan oluşan kısa bölümler halinde yazılmış orjinal olmaya çalışırken zorlama yapay olmuş okunmasa bir kaybedilmez
1,İlk emri oku olan inançlı insanlara neyle başlamaları gerektiğini gösteren bir kitap olmuş
0,Tüm gayretime rağmen gitmedi olmadı bir türlü kadar sıkıcı bir kitap 100 sayfa anca dayanabildim
1,Okurken oldukça etkilendiğim aşkın demek olduğunu öğreten bir başyapıt
1,Detaylı açıklamaları dilinin biraz ağır olması sebebiyle üst düzey bir okuma gerektiren kütüphanede bulunması gereken bir eser
0,dili akıcı kısa bir kitap ben beğenemedim
1,prensesler kendini koruyabilir bayıldım mesaja
0,Maalesef beğenmedim Belki tarzım değil bilmiyorum Tavsiye edemedim
1,Kesinlikle önemli bir klasik Okuyan edebiyat severlere katacak bir eserdir
0,Çok severek dinlemedi öğrencilerim
0,Farklı kitaplara bakın derim istediğinizi muhtemelen bulamayacaksınız kitapta Malesef sonunu getiremedim
0,bir kitap sever olarak ben sevmedim bunu okuyacağınıza başka kitaplara zaman ayırın Vakit kaybı
1,Çok başarılı bir kitap düşünmeden alın hareketli olması renkleri miniklerin dikkatini uzun süre çekiyor
1,Halk arasında sıklıkla duyduğumuz kırk 40 şeyi gerçekten güzel tesbit edip güzel açıklamalar yapılmış hoşuma gitmeyen iki ilki tasavvuf mistisizmi aynı şeyler olarak açıklaması beni rahatsız etti tasavvuf mistisizm arasındaki farklar din psikolojisi tasavvuf tarihi kitaplarında teferruatlıca yazılır ikincisi kitabın son kısımlarına doğru hristiyanlık dininden bahsederken dinin şeylerinin övülmesi beni rahatsız etti üstü kapalı bir misyonerlik hissettim Kitap genel olarak güzeldi hoşuma gitti tavsiye ederim
0,kitabı beğenmedim internette diksiyon alanında bilgi var
0,Icim cikti sonuca gelmesini beklerken Her sayfa surda şundan bahsetmistik oradaki konumu alin duvara bakin v s lerle dolu sesli yönlendirmeleri olan meditasyon yapsam iyiydi
1,KONU HAKKINDA BİLGİ SAHİBİ OLMAK İSTEYENE GÜZEL BİR KİTAP İÇERİĞİ İLMİ BİR KİTAP ROMAN TARZI BEKLEYEN ALMASIN
1,kitapta alexis carrelin dua kitabı mevcut
0,Aynı zamanda felsefe mezunu olan olarak aradığımı bulamadım Çok kısa yer yer taraflı yazmış yazar Hiç okumasam kaybedeceğim bi yoktu
1,Kendimi bulduğum bir kitap seviyorsanız okuyun derim
0,Kitabın ilk sayfası eksik çıktı saman kağıdıydı Nobel yayınevinin kalitesine güvenerek almıştım Tavsiye etmem
1,Hayatımızın alanında olan müzakereler baş ucu kitabı olabilecek kalitededir
1,Çocuklarda beslenme uyku düzeni vs şeyleri bilmeden önemsemediğimizi kitap yüzümüze vuruyor Çocuklarımızın gelişimi keşke dememek mutlaka okunmalı
0,2013 te yazılan kitabı 2020 pazarlıyor yazar
0,somut bir bilgi yok
0,Tecavüz efsane bir Mükemmel Herkes tecavüz orasını burasını yırtıyor bayılıyoruz Ne zaman yola çıksak gelsede tecavüz etse diyoruz O derece efsanelerdir kendileri Cehalet Susuyorum Ama hayır susmayacağım susmayacağız Bir kadın saksı değildir Bir kadın mal değildir Alınıp satılamaz Bir kadına tecavüz edilemez Kelime kalmadı yazacak Öyle bir Bu tip kitapları basan yayınlarda satan sitelerden beyin isterim Saygı isterim mantık isterim Bir insanlık göstergesi isterim
1,güzel tadında bilgilerle dolu
0,Önceki sayılara göre kitabı kitap listeme aldım islami mesaj veren eserler noktasında kitap yer alıyor
1,türlü iletişim bir yol izlenmesi gerektiğini gösteren başlangıç güzel bir kitap
1,Salome un mutlaka okunması gereken kitabı özellikle insan ilişkilerine önem verenlerin keyif alacağını düşünüyorum
1,Bu güzeş seride sona yaklaşıyoruz artık bittiğine inanın üzülüyorum okumadan olmuyor
1,Ülkenin büyük limlerinden Mardin hoca bütün eserleri mutlaka okunmalı
0,Konu güzel olmamış yeni kitap okumaya başlayanlar okuyabilir ileri seviyelerin beklentilerini karsilamayacaktir
1,öğrencilerime aldığım kitaplar arasında Gerçekten çocuklara önemli kişileri örnek alabileceği kitaplardan okutmak lazım
0,Bu 1 yıldızı sade sadece kitabın sayfasının rengi veriyorum Kitabın rengi mavi pembe kadar göz alıyorki kitabı okunabileceğimi sanmıyorum keşke kapaktaki olsaydı sayfaların rengi
0,Üstün Dökmen i biraz detaylı araştırıp öyle okumanızı tavsiye ederim kendisinin kadar özenle kaleme almış kitap haline getirmiş olduğu empati kavramını yeniden onun penceresinden değerlendirebilmeniz adına
0,Maalesef kitap sever olarak 20 sayfa ancak okudum Tamamen zaman kaybı
0,Mutlu bir son beklerdim olay hiçbir gelişme olmadan hayatımız devam edecek mutlu sonlara inanmak kolay birgün yolun sonunda aydınlık göreceğini düşünmek aptallık sadece kendimizi kandırıyoruz
1,Çantada masada hatta cepte bulunacak fırsat buldukça okunacak sayıda alınıp hediye edilecek bir kitap
1,Coğrafya merak edenler birebir faydalı
0,Kitap beklentilerin altında
0,begenerek aldim begenimun altinda kaldı malesef uzun olabilirdi hemen bitiveriyor
